title,url,pageid,source_category,instance_of,wikidata_qid,founded,dissolved,validation
"Clinton High School (Clinton, Illinois)","https://en.wikipedia.org/wiki/Clinton_High_School_(Clinton,_Illinois)",10007104,"Schools in DeWitt County, Illinois",high school,Q5134138,,,school
Addison Trail High School,https://en.wikipedia.org/wiki/Addison_Trail_High_School,4101658,"Schools in DuPage County, Illinois",high school,Q4681297,,,school
Avery Coonley School,https://en.wikipedia.org/wiki/Avery_Coonley_School,8052357,"Schools in DuPage County, Illinois",school|school building,Q7715034,1906,,school
Bartlett High School (Illinois),https://en.wikipedia.org/wiki/Bartlett_High_School_(Illinois),2202706,"Schools in DuPage County, Illinois",high school,Q14687396,1997,,school
Benet Academy,https://en.wikipedia.org/wiki/Benet_Academy,466557,"Schools in DuPage County, Illinois",secondary school|Catholic school,Q4887521,1887,,school
Chesterton Academy of the Holy Family,https://en.wikipedia.org/wiki/Chesterton_Academy_of_the_Holy_Family,48916816,"Schools in DuPage County, Illinois",high school,Q22021999,,,school
Community High School (West Chicago),https://en.wikipedia.org/wiki/Community_High_School_(West_Chicago),5791941,"Schools in DuPage County, Illinois",high school,Q5154778,1926,,school
Downers Grove South High School,https://en.wikipedia.org/wiki/Downers_Grove_South_High_School,2547883,"Schools in DuPage County, Illinois",high school,Q5303123,1964,,school
Elizabeth Ide School,https://en.wikipedia.org/wiki/Elizabeth_Ide_School,35891848,"Schools in DuPage County, Illinois",,,,,unverified
Fenton High School (Illinois),https://en.wikipedia.org/wiki/Fenton_High_School_(Illinois),6532753,"Schools in DuPage County, Illinois",high school,Q5443619,1917,,school
Glenbard East High School,https://en.wikipedia.org/wiki/Glenbard_East_High_School,4275494,"Schools in DuPage County, Illinois",high school,Q5568156,1959,,school
Glenbard North High School,https://en.wikipedia.org/wiki/Glenbard_North_High_School,4275486,"Schools in DuPage County, Illinois",high school|public school,Q14687513,1968,,school
Glenbard South High School,https://en.wikipedia.org/wiki/Glenbard_South_High_School,22997856,"Schools in DuPage County, Illinois",high school,Q5568158,1972,,school
Glenbard West High School,https://en.wikipedia.org/wiki/Glenbard_West_High_School,4275498,"Schools in DuPage County, Illinois",high school,Q5568160,1922,,school
Hadley Junior High School,https://en.wikipedia.org/wiki/Hadley_Junior_High_School,5182955,"Schools in DuPage County, Illinois",high school,Q5637975,1956,,school
Hinsdale Central High School,https://en.wikipedia.org/wiki/Hinsdale_Central_High_School,3097079,"Schools in DuPage County, Illinois",high school,Q14687549,,,school
Hinsdale South High School,https://en.wikipedia.org/wiki/Hinsdale_South_High_School,2658523,"Schools in DuPage County, Illinois",high school,Q5767476,1965,,school
"IC Catholic Prep (Elmhurst, Illinois)","https://en.wikipedia.org/wiki/IC_Catholic_Prep_(Elmhurst,_Illinois)",11340585,"Schools in DuPage County, Illinois",high school,Q6004407,1936,,school
Islamic Foundation School,https://en.wikipedia.org/wiki/Islamic_Foundation_School,9262039,"Schools in DuPage County, Illinois",school,Q6082457,1986,,school
Lake Park High School,https://en.wikipedia.org/wiki/Lake_Park_High_School,6307591,"Schools in DuPage County, Illinois",high school,Q6477306,1956,,school
Lisle High School,https://en.wikipedia.org/wiki/Lisle_High_School,5791632,"Schools in DuPage County, Illinois",high school,Q6559000,1956,,school
Metea Valley High School,https://en.wikipedia.org/wiki/Metea_Valley_High_School,9417724,"Schools in DuPage County, Illinois",high school,Q6823375,2009,,school
Naperville Central High School,https://en.wikipedia.org/wiki/Naperville_Central_High_School,30872978,"Schools in DuPage County, Illinois",high school,Q6964849,1863,,school
Naperville North High School,https://en.wikipedia.org/wiki/Naperville_North_High_School,1639250,"Schools in DuPage County, Illinois",high school,Q6964856,1970,,school
"North High School (Downers Grove, Illinois)","https://en.wikipedia.org/wiki/North_High_School_(Downers_Grove,_Illinois)",3173533,"Schools in DuPage County, Illinois",high school,Q5303122,1928,,school
"Sacred Heart School (Lombard, Illinois)","https://en.wikipedia.org/wiki/Sacred_Heart_School_(Lombard,_Illinois)",49945931,"Schools in DuPage County, Illinois",Catholic school|primary school,Q25247964,1912,,school
"St. Francis High School (Wheaton, Illinois)","https://en.wikipedia.org/wiki/St._Francis_High_School_(Wheaton,_Illinois)",2980845,"Schools in DuPage County, Illinois",high school,Q7587961,1957,,school
Timothy Christian School (Illinois),https://en.wikipedia.org/wiki/Timothy_Christian_School_(Illinois),12646890,"Schools in DuPage County, Illinois",school,Q7807111,1911,,school
Waubonsie Valley High School,https://en.wikipedia.org/wiki/Waubonsie_Valley_High_School,1564853,"Schools in DuPage County, Illinois",high school,Q7975110,1975,,school
Wayne Elementary School,https://en.wikipedia.org/wiki/Wayne_Elementary_School,22056075,"Schools in DuPage County, Illinois",,,,,unverified
"Westmont High School (Westmont, Illinois)","https://en.wikipedia.org/wiki/Westmont_High_School_(Westmont,_Illinois)",6533134,"Schools in DuPage County, Illinois",high school,Q7989250,1972,,school
Wheaton Academy,https://en.wikipedia.org/wiki/Wheaton_Academy,16818356,"Schools in DuPage County, Illinois",school,Q7991950,,,school
Wheaton North High School,https://en.wikipedia.org/wiki/Wheaton_North_High_School,3481857,"Schools in DuPage County, Illinois",high school,Q7991963,1964,,school
Wheaton Warrenville South High School,https://en.wikipedia.org/wiki/Wheaton_Warrenville_South_High_School,3481822,"Schools in DuPage County, Illinois",high school,Q7991966,1876,,school
Willowbrook High School,https://en.wikipedia.org/wiki/Willowbrook_High_School,8525219,"Schools in DuPage County, Illinois",high school,Q8022405,1959,,school
York Community High School,https://en.wikipedia.org/wiki/York_Community_High_School,3513149,"Schools in DuPage County, Illinois",high school,Q14688280,1918,,school
Paris Cooperative High School,https://en.wikipedia.org/wiki/Paris_Cooperative_High_School,12924806,"Schools in Edgar County, Illinois",high school,Q7137273,,,school
St. Anthony High School (Illinois),https://en.wikipedia.org/wiki/St._Anthony_High_School_(Illinois),11339176,"Schools in Effingham County, Illinois",high school,Q7587092,1912,,school
Teutopolis High School,https://en.wikipedia.org/wiki/Teutopolis_High_School,41962209,"Schools in Effingham County, Illinois",high school,Q16877081,,,school
Benton Consolidated High School,https://en.wikipedia.org/wiki/Benton_Consolidated_High_School,39192016,"Schools in Franklin County, Illinois",high school,Q14687398,,,school
Frankfort Community High School,https://en.wikipedia.org/wiki/Frankfort_Community_High_School,27511123,"Schools in Franklin County, Illinois",high school,Q14687507,1919,,school
Astoria High School (Illinois),https://en.wikipedia.org/wiki/Astoria_High_School_(Illinois),26083877,"Schools in Fulton County, Illinois",high school,Q4811106,,,school
Avon High School (Illinois),https://en.wikipedia.org/wiki/Avon_High_School_(Illinois),26084391,"Schools in Fulton County, Illinois",high school,Q4829202,,,school
Canton High School (Illinois),https://en.wikipedia.org/wiki/Canton_High_School_(Illinois),18046127,"Schools in Fulton County, Illinois",high school,Q5033894,1860,,school
Cuba High School (Illinois),https://en.wikipedia.org/wiki/Cuba_High_School_(Illinois),26141150,"Schools in Fulton County, Illinois",high school,Q5191948,,,school
Lewistown High School (Illinois),https://en.wikipedia.org/wiki/Lewistown_High_School_(Illinois),26154318,"Schools in Fulton County, Illinois",high school,Q6537432,,,school
Spoon River Valley High School,https://en.wikipedia.org/wiki/Spoon_River_Valley_High_School,9683757,"Schools in Fulton County, Illinois",high school,Q17062489,,,school
VIT High School,https://en.wikipedia.org/wiki/VIT_High_School,26130548,"Schools in Fulton County, Illinois",high school,Q7907091,1947,,school
Minooka Community High School,https://en.wikipedia.org/wiki/Minooka_Community_High_School,6416721,"Schools in Grundy County, Illinois",high school,Q6869049,1886,,school
Morris Community High School,https://en.wikipedia.org/wiki/Morris_Community_High_School,6416406,"Schools in Grundy County, Illinois",high school,Q6913652,1944,,school
"Hamilton High School (Hamilton, Illinois)","https://en.wikipedia.org/wiki/Hamilton_High_School_(Hamilton,_Illinois)",26167456,"Schools in Hancock County, Illinois",high school,Q5644991,,,school
Illini West High School,https://en.wikipedia.org/wiki/Illini_West_High_School,26166080,"Schools in Hancock County, Illinois",high school,Q5999243,,,school
Southeastern High School (Illinois),https://en.wikipedia.org/wiki/Southeastern_High_School_(Illinois),10375341,"Schools in Hancock County, Illinois",high school,Q7569476,,,school
Warsaw High School (Illinois),https://en.wikipedia.org/wiki/Warsaw_High_School_(Illinois),26311786,"Schools in Hancock County, Illinois",high school,Q14688221,,,school
West Central High School (Illinois),https://en.wikipedia.org/wiki/West_Central_High_School_(Illinois),26029112,"Schools in Henderson County, Illinois",high school,Q7984686,2005,,school
AlWood High School,https://en.wikipedia.org/wiki/AlWood_High_School,25348990,"Schools in Henry County, Illinois",high school,Q4703426,1948,,school
Annawan High School,https://en.wikipedia.org/wiki/Annawan_High_School,25348921,"Schools in Henry County, Illinois",high school,Q4768037,,,school
Cambridge High School (Illinois),https://en.wikipedia.org/wiki/Cambridge_High_School_(Illinois),25348760,"Schools in Henry County, Illinois",high school,Q5025436,,,school
Galva High School,https://en.wikipedia.org/wiki/Galva_High_School,25348694,"Schools in Henry County, Illinois",high school,Q5519398,,,school
Geneseo High School,https://en.wikipedia.org/wiki/Geneseo_High_School,13438754,"Schools in Henry County, Illinois",high school,Q5532758,,,school
Kewanee High School,https://en.wikipedia.org/wiki/Kewanee_High_School,10642478,"Schools in Henry County, Illinois",high school,Q6397930,,,school
Orion High School,https://en.wikipedia.org/wiki/Orion_High_School,21171134,"Schools in Henry County, Illinois",high school,Q7102783,,,school
Wethersfield High School (Illinois),https://en.wikipedia.org/wiki/Wethersfield_High_School_(Illinois),25346861,"Schools in Henry County, Illinois",high school,Q7990108,1859,,school
"Central High School (Clifton, Illinois)","https://en.wikipedia.org/wiki/Central_High_School_(Clifton,_Illinois)",8755991,"Schools in Iroquois County, Illinois",high school,Q5061172,,,school
Christ Lutheran High School,https://en.wikipedia.org/wiki/Christ_Lutheran_High_School,14750047,"Schools in Iroquois County, Illinois",high school,Q5108924,,,school
Carbondale Community High School,https://en.wikipedia.org/wiki/Carbondale_Community_High_School,27193108,"Schools in Jackson County, Illinois",high school,Q5038025,,,school
Southern Illinois University Carbondale,https://en.wikipedia.org/wiki/Southern_Illinois_University_Carbondale,476592,"Schools in Jackson County, Illinois",public university|public educational institution of the United States,Q1472347,1869,,school
Jersey Community High School,https://en.wikipedia.org/wiki/Jersey_Community_High_School,13635709,"Schools in Jersey County, Illinois",high school,Q6184814,1874,,school
East Dubuque High School,https://en.wikipedia.org/wiki/East_Dubuque_High_School,26399630,"Schools in Jo Daviess County, Illinois",high school,Q5328253,,,school
Galena High School (Illinois),https://en.wikipedia.org/wiki/Galena_High_School_(Illinois),13795751,"Schools in Jo Daviess County, Illinois",high school,Q5518381,,,school
River Ridge High School (Illinois),https://en.wikipedia.org/wiki/River_Ridge_High_School_(Illinois),26400469,"Schools in Jo Daviess County, Illinois",high school,Q7337752,,,school
Scales Mound High School,https://en.wikipedia.org/wiki/Scales_Mound_High_School,26400143,"Schools in Jo Daviess County, Illinois",high school,Q7429760,,,school
Stockton High School (Illinois),https://en.wikipedia.org/wiki/Stockton_High_School_(Illinois),26402679,"Schools in Jo Daviess County, Illinois",high school,Q7618232,,,school
"Warren High School (Warren, Illinois)","https://en.wikipedia.org/wiki/Warren_High_School_(Warren,_Illinois)",26401535,"Schools in Jo Daviess County, Illinois",high school,Q7970261,,,school
Batavia High School (Illinois),https://en.wikipedia.org/wiki/Batavia_High_School_(Illinois),6492663,"Schools in Kane County, Illinois",high school,Q4868671,1911,,school
"Burhan Academy (Elgin, Illinois)","https://en.wikipedia.org/wiki/Burhan_Academy_(Elgin,_Illinois)",79959113,"Schools in Kane County, Illinois",educational institution,Q134585289,2024,,school
Carpentersville Middle School,https://en.wikipedia.org/wiki/Carpentersville_Middle_School,56732805,"Schools in Kane County, Illinois",school|middle school,Q54874467,1954,,school
"Central High School (Burlington, Illinois)","https://en.wikipedia.org/wiki/Central_High_School_(Burlington,_Illinois)",13156758,"Schools in Kane County, Illinois",high school,Q5061166,,,school
Dundee-Crown High School,https://en.wikipedia.org/wiki/Dundee-Crown_High_School,8302196,"Schools in Kane County, Illinois",high school,Q5314793,1874,,school
East Aurora High School,https://en.wikipedia.org/wiki/East_Aurora_High_School,5014659,"Schools in Kane County, Illinois",high school,Q5327761,1867,,school
Geneva Community High School,https://en.wikipedia.org/wiki/Geneva_Community_High_School,6492812,"Schools in Kane County, Illinois",high school,Q5533013,1907,,school
Hampshire High School (Illinois),https://en.wikipedia.org/wiki/Hampshire_High_School_(Illinois),28437268,"Schools in Kane County, Illinois",high school,Q5646061,1838,,school
Kaneland High School,https://en.wikipedia.org/wiki/Kaneland_High_School,6492969,"Schools in Kane County, Illinois",high school,Q6361972,1958,,school
Kimball Middle School,https://en.wikipedia.org/wiki/Kimball_Middle_School,7861858,"Schools in Kane County, Illinois",,,,,unverified
St. Charles East High School,https://en.wikipedia.org/wiki/St._Charles_East_High_School,3754944,"Schools in Kane County, Illinois",high school,Q7587515,1973,,school
St. Charles North High School,https://en.wikipedia.org/wiki/St._Charles_North_High_School,5308745,"Schools in Kane County, Illinois",high school,Q7587528,2000,,school
South Elgin High School,https://en.wikipedia.org/wiki/South_Elgin_High_School,5821692,"Schools in Kane County, Illinois",high school,Q7567171,2005,,school
Tefft Middle School,https://en.wikipedia.org/wiki/Tefft_Middle_School,32162531,"Schools in Kane County, Illinois",,,,,unverified
"Washington Elementary School (Elgin, Illinois)","https://en.wikipedia.org/wiki/Washington_Elementary_School_(Elgin,_Illinois)",11929740,"Schools in Kane County, Illinois",,,,,unverified
West Aurora High School,https://en.wikipedia.org/wiki/West_Aurora_High_School,10353578,"Schools in Kane County, Illinois",high school,Q7984346,1868,,school
Louise White School,https://en.wikipedia.org/wiki/Louise_White_School,12682864,"Schools in Kane County, Illinois",school|school building,Q6689002,,,school
"Bishop McNamara High School (Kankakee, Illinois)","https://en.wikipedia.org/wiki/Bishop_McNamara_High_School_(Kankakee,_Illinois)",11340459,"Schools in Kankakee County, Illinois",high school,Q4917653,1922,,school
Bradley-Bourbonnais Community High School,https://en.wikipedia.org/wiki/Bradley-Bourbonnais_Community_High_School,46237276,"Schools in Kankakee County, Illinois",high school,Q19873856,,,school
Grace Christian Academy (Illinois),https://en.wikipedia.org/wiki/Grace_Christian_Academy_(Illinois),58419804,"Schools in Kankakee County, Illinois",school,Q107175772,,,school
Herscher High School,https://en.wikipedia.org/wiki/Herscher_High_School,29450882,"Schools in Kankakee County, Illinois",high school,Q5744369,,,school
Kankakee High School,https://en.wikipedia.org/wiki/Kankakee_High_School,13318494,"Schools in Kankakee County, Illinois",high school,Q6363582,1965,,school
St. Anne Community High School,https://en.wikipedia.org/wiki/St._Anne_Community_High_School,44655139,"Schools in Kankakee County, Illinois",high school,Q18648823,,,school
Newark Community High School,https://en.wikipedia.org/wiki/Newark_Community_High_School,20994871,"Schools in Kendall County, Illinois",high school,Q17058939,,,school
Oswego East High School,https://en.wikipedia.org/wiki/Oswego_East_High_School,6407310,"Schools in Kendall County, Illinois",high school,Q7108230,2004,,school
Oswego High School (Illinois),https://en.wikipedia.org/wiki/Oswego_High_School_(Illinois),5699953,"Schools in Kendall County, Illinois",high school,Q7108233,1951,,school
Plainfield South High School,https://en.wikipedia.org/wiki/Plainfield_South_High_School,2142503,"Schools in Kendall County, Illinois",high school,Q7200700,2001,,school
Plano High School (Illinois),https://en.wikipedia.org/wiki/Plano_High_School_(Illinois),33144362,"Schools in Kendall County, Illinois",high school,Q7201409,,,school
Yorkville High School,https://en.wikipedia.org/wiki/Yorkville_High_School,6493406,"Schools in Kendall County, Illinois",high school,Q8055819,1893,,school
Abingdon-Avon High School,https://en.wikipedia.org/wiki/Abingdon-Avon_High_School,25326335,"Schools in Knox County, Illinois",high school,Q4667831,2013,,school
Galesburg High School,https://en.wikipedia.org/wiki/Galesburg_High_School,12669791,"Schools in Knox County, Illinois",high school,Q5518480,1861,,school
Knoxville High School (Illinois),https://en.wikipedia.org/wiki/Knoxville_High_School_(Illinois),25326577,"Schools in Knox County, Illinois",high school,Q6423667,,,school
ROWVA High School,https://en.wikipedia.org/wiki/ROWVA_High_School,26028471,"Schools in Knox County, Illinois",high school,Q7277429,,,school
Williamsfield High School,https://en.wikipedia.org/wiki/Williamsfield_High_School,26032388,"Schools in Knox County, Illinois",high school,Q8021191,,,school
Antioch Community High School,https://en.wikipedia.org/wiki/Antioch_Community_High_School,5149079,"Schools in Lake County, Illinois",high school,Q4775013,1915,,school
Barrington High School (Illinois),https://en.wikipedia.org/wiki/Barrington_High_School_(Illinois),1400974,"Schools in Lake County, Illinois",high school,Q4863671,1949,,school
"Carmel High School (Mundelein, Illinois)","https://en.wikipedia.org/wiki/Carmel_High_School_(Mundelein,_Illinois)",2176001,"Schools in Lake County, Illinois",high school,Q5043289,1989,,school
Cristo Rey St. Martin College Prep,https://en.wikipedia.org/wiki/Cristo_Rey_St._Martin_College_Prep,11343887,"Schools in Lake County, Illinois",high school,Q7590036,2004,,school
Deerfield High School (Illinois),https://en.wikipedia.org/wiki/Deerfield_High_School_(Illinois),1955092,"Schools in Lake County, Illinois",high school,Q4162116,,,school
Grant Community High School,https://en.wikipedia.org/wiki/Grant_Community_High_School,6423568,"Schools in Lake County, Illinois",high school,Q5596150,1930,,school
Grayslake Central High School,https://en.wikipedia.org/wiki/Grayslake_Central_High_School,13932192,"Schools in Lake County, Illinois",high school,Q5598383,1946,,school
Grayslake North High School,https://en.wikipedia.org/wiki/Grayslake_North_High_School,10526278,"Schools in Lake County, Illinois",high school,Q5598386,2004,,school
"Highland Park High School (Highland Park, Illinois)","https://en.wikipedia.org/wiki/Highland_Park_High_School_(Highland_Park,_Illinois)",594475,"Schools in Lake County, Illinois",high school,Q5758978,1889,,school
Lake Forest High School (Illinois),https://en.wikipedia.org/wiki/Lake_Forest_High_School_(Illinois),1964914,"Schools in Lake County, Illinois",high school,Q14634066,1935,,school
Lake Zurich High School,https://en.wikipedia.org/wiki/Lake_Zurich_High_School,2844230,"Schools in Lake County, Illinois",high school,Q6478602,1926,,school
Lakes Community High School,https://en.wikipedia.org/wiki/Lakes_Community_High_School,6423807,"Schools in Lake County, Illinois",high school,Q6478952,2004,,school
Libertyville High School,https://en.wikipedia.org/wiki/Libertyville_High_School,3146543,"Schools in Lake County, Illinois",high school,Q6542223,1917,,school
May Whitney School,https://en.wikipedia.org/wiki/May_Whitney_School,20525643,"Schools in Lake County, Illinois",,,,,unverified
Mundelein High School,https://en.wikipedia.org/wiki/Mundelein_High_School,2793825,"Schools in Lake County, Illinois",high school,Q6935774,1961,,school
New Tech High at Zion-Benton East,https://en.wikipedia.org/wiki/New_Tech_High_at_Zion-Benton_East,25354710,"Schools in Lake County, Illinois",high school,Q14687959,2008,,school
North Chicago Community High School,https://en.wikipedia.org/wiki/North_Chicago_Community_High_School,6427320,"Schools in Lake County, Illinois",high school,Q7054801,1954,,school
Northwestern Military and Naval Academy,https://en.wikipedia.org/wiki/Northwestern_Military_and_Naval_Academy,12151281,"Schools in Lake County, Illinois",secondary school,Q7060344,1888,,school
"Oak Grove School (Green Oaks, Illinois)","https://en.wikipedia.org/wiki/Oak_Grove_School_(Green_Oaks,_Illinois)",44107561,"Schools in Lake County, Illinois",,,,,unverified
"Quest Academy (Palatine, Illinois)","https://en.wikipedia.org/wiki/Quest_Academy_(Palatine,_Illinois)",8181982,"Schools in Lake County, Illinois",educational institution,Q7271444,1982,,school
Round Lake High School,https://en.wikipedia.org/wiki/Round_Lake_High_School,6427460,"Schools in Lake County, Illinois",high school,Q7371075,1954,,school
"School of St. Mary (Lake Forest, Illinois)","https://en.wikipedia.org/wiki/School_of_St._Mary_(Lake_Forest,_Illinois)",14570905,"Schools in Lake County, Illinois",,,,,unverified
"Stevenson High School (Lincolnshire, Illinois)","https://en.wikipedia.org/wiki/Stevenson_High_School_(Lincolnshire,_Illinois)",1247554,"Schools in Lake County, Illinois",high school,Q7615522,1965,,school
Vernon Hills High School,https://en.wikipedia.org/wiki/Vernon_Hills_High_School,5817096,"Schools in Lake County, Illinois",high school,Q7922148,1999,,school
Warren Township High School,https://en.wikipedia.org/wiki/Warren_Township_High_School,3074926,"Schools in Lake County, Illinois",high school,Q7970551,1917,,school
Wauconda High School,https://en.wikipedia.org/wiki/Wauconda_High_School,6427598,"Schools in Lake County, Illinois",high school,Q7975126,1915,,school
Waukegan High School,https://en.wikipedia.org/wiki/Waukegan_High_School,6637447,"Schools in Lake County, Illinois",high school,Q7975149,1870,,school
Zion-Benton Township High School,https://en.wikipedia.org/wiki/Zion-Benton_Township_High_School,5764999,"Schools in Lake County, Illinois",high school,Q8072480,1939,,school
LaSalle-Peru High School,https://en.wikipedia.org/wiki/LaSalle-Peru_High_School,8075564,"Schools in LaSalle County, Illinois",high school,Q6460854,1901,,school
"Leland High School (Leland, Illinois)","https://en.wikipedia.org/wiki/Leland_High_School_(Leland,_Illinois)",15839110,"Schools in LaSalle County, Illinois",high school,Q6520749,,,school
Marquette Academy,https://en.wikipedia.org/wiki/Marquette_Academy,11296648,"Schools in LaSalle County, Illinois",high school,Q6772596,1859,,school
Mendota Township High School,https://en.wikipedia.org/wiki/Mendota_Township_High_School,26429056,"Schools in LaSalle County, Illinois",high school,Q6816741,,,school
Ottawa Township High School,https://en.wikipedia.org/wiki/Ottawa_Township_High_School,10641957,"Schools in LaSalle County, Illinois",high school,Q7109260,1897,,school
Streator Township High School,https://en.wikipedia.org/wiki/Streator_Township_High_School,27326509,"Schools in LaSalle County, Illinois",high school,Q17039380,1875,,school
Woodland High School (Illinois),https://en.wikipedia.org/wiki/Woodland_High_School_(Illinois),29791290,"Schools in LaSalle County, Illinois",high school,Q8032842,,,school
Lawrenceville High School,https://en.wikipedia.org/wiki/Lawrenceville_High_School,27527242,"Schools in Lawrence County, Illinois",high school,Q6504821,,,school
Amboy High School,https://en.wikipedia.org/wiki/Amboy_High_School,26042479,"Schools in Lee County, Illinois",high school,Q4741688,1949,,school
Ashton-Franklin Center High School,https://en.wikipedia.org/wiki/Ashton-Franklin_Center_High_School,26540652,"Schools in Lee County, Illinois",high school,Q4805993,2004,,school
Dixon High School (Illinois),https://en.wikipedia.org/wiki/Dixon_High_School_(Illinois),11018968,"Schools in Lee County, Illinois",high school,Q5284951,,,school
Paw Paw High School (Illinois),https://en.wikipedia.org/wiki/Paw_Paw_High_School_(Illinois),26542004,"Schools in Lee County, Illinois",high school,Q7156079,,,school
Flanagan-Cornell High School,https://en.wikipedia.org/wiki/Flanagan-Cornell_High_School,40653897,"Schools in Livingston County, Illinois",,,,,unverified
Pontiac Township High School,https://en.wikipedia.org/wiki/Pontiac_Township_High_School,14045259,"Schools in Livingston County, Illinois",high school,Q7228243,1898,,school
Prairie Central High School,https://en.wikipedia.org/wiki/Prairie_Central_High_School,9463663,"Schools in Livingston County, Illinois",high school,Q7237822,1984,,school
Lincoln Community High School,https://en.wikipedia.org/wiki/Lincoln_Community_High_School,2755146,"Schools in Logan County, Illinois",high school,Q6550563,,,school
"Eisenhower High School (Decatur, Illinois)","https://en.wikipedia.org/wiki/Eisenhower_High_School_(Decatur,_Illinois)",16197786,"Schools in Macon County, Illinois",high school,Q5349918,,,school
"MacArthur High School (Decatur, Illinois)","https://en.wikipedia.org/wiki/MacArthur_High_School_(Decatur,_Illinois)",18921835,"Schools in Macon County, Illinois",Japanese high school|public school|educational facility,Q6721724,,,school
Maroa-Forsyth High School,https://en.wikipedia.org/wiki/Maroa-Forsyth_High_School,13340836,"Schools in Macon County, Illinois",high school,Q6772270,2004,,school
"Meridian High School (Macon, Illinois)","https://en.wikipedia.org/wiki/Meridian_High_School_(Macon,_Illinois)",21478438,"Schools in Macon County, Illinois",high school,Q6819320,1994,,school
Mount Zion High School (Illinois),https://en.wikipedia.org/wiki/Mount_Zion_High_School_(Illinois),57286572,"Schools in Macon County, Illinois",school,Q104842808,,,school
"St. Teresa High School (Decatur, Illinois)","https://en.wikipedia.org/wiki/St._Teresa_High_School_(Decatur,_Illinois)",11339226,"Schools in Macon County, Illinois",high school,Q7591825,1866,,school
"Stephen Decatur High School (Decatur, Illinois)","https://en.wikipedia.org/wiki/Stephen_Decatur_High_School_(Decatur,_Illinois)",12124938,"Schools in Macon County, Illinois",high school|destroyed building or structure,Q7609048,1911,1977,defunct
Bunker Hill High School (Illinois),https://en.wikipedia.org/wiki/Bunker_Hill_High_School_(Illinois),68232752,"Schools in Macoupin County, Illinois",high school,Q107694374,,,school
Bunker Hill Military Academy,https://en.wikipedia.org/wiki/Bunker_Hill_Military_Academy,27594566,"Schools in Macoupin County, Illinois",school,Q4997765,1859,,school
Carlinville High School,https://en.wikipedia.org/wiki/Carlinville_High_School,46338575,"Schools in Macoupin County, Illinois",high school,Q19877693,,,school
"Southwestern High School (Piasa, Illinois)","https://en.wikipedia.org/wiki/Southwestern_High_School_(Piasa,_Illinois)",45520027,"Schools in Macoupin County, Illinois",high school,Q19599958,,,school
Civic Memorial High School,https://en.wikipedia.org/wiki/Civic_Memorial_High_School,12126880,"Schools in Madison County, Illinois",high school,Q5124323,1951,,school
East Alton–Wood River High School,https://en.wikipedia.org/wiki/East_Alton–Wood_River_High_School,58554855,"Schools in Madison County, Illinois",high school,Q60745061,,,school
Edwardsville High School,https://en.wikipedia.org/wiki/Edwardsville_High_School,35957431,"Schools in Madison County, Illinois",high school,Q5346159,1997,,school
Granite City High School,https://en.wikipedia.org/wiki/Granite_City_High_School,62651125,"Schools in Madison County, Illinois",high school,Q85764315,1983,,school
"Highland High School (Highland, Illinois)","https://en.wikipedia.org/wiki/Highland_High_School_(Highland,_Illinois)",6337927,"Schools in Madison County, Illinois",high school,Q5758809,,,school
Marquette Catholic High School (Illinois),https://en.wikipedia.org/wiki/Marquette_Catholic_High_School_(Illinois),11339068,"Schools in Madison County, Illinois",high school,Q6772579,1927,,school
Roxana High School,https://en.wikipedia.org/wiki/Roxana_High_School,3307282,"Schools in Madison County, Illinois",high school,Q7372333,1941,,school
"St. Paul Catholic Church (Highland, Illinois)","https://en.wikipedia.org/wiki/St._Paul_Catholic_Church_(Highland,_Illinois)",22153667,"Schools in Madison County, Illinois",Catholic church building,Q7591233,,,non_school
Triad High School (Illinois),https://en.wikipedia.org/wiki/Triad_High_School_(Illinois),13283155,"Schools in Madison County, Illinois",high school,Q7839886,1999,,school
Centralia High School (Illinois),https://en.wikipedia.org/wiki/Centralia_High_School_(Illinois),44696612,"Schools in Marion County, Illinois",high school,Q18705867,,,school
Henry-Senachwine High School,https://en.wikipedia.org/wiki/Henry-Senachwine_High_School,26341126,"Schools in Marshall County, Illinois",high school,Q5716920,,,school
Midland High School (Illinois),https://en.wikipedia.org/wiki/Midland_High_School_(Illinois),26338951,"Schools in Marshall County, Illinois",high school,Q6842348,,,school
Havana High School,https://en.wikipedia.org/wiki/Havana_High_School,26154889,"Schools in Mason County, Illinois",high school,Q5683076,,,school
Bushnell-Prairie City High School,https://en.wikipedia.org/wiki/Bushnell-Prairie_City_High_School,26084946,"Schools in McDonough County, Illinois",high school,Q5001543,,,school
Macomb High School,https://en.wikipedia.org/wiki/Macomb_High_School,25309668,"Schools in McDonough County, Illinois",high school,Q6724794,,,school
West Prairie High School,https://en.wikipedia.org/wiki/West_Prairie_High_School,26033687,"Schools in McDonough County, Illinois",high school,Q7986296,,,school
Cary-Grove High School,https://en.wikipedia.org/wiki/Cary-Grove_High_School,2983130,"Schools in McHenry County, Illinois",high school,Q5047594,1961,,school
Crystal Lake Central High School,https://en.wikipedia.org/wiki/Crystal_Lake_Central_High_School,7581364,"Schools in McHenry County, Illinois",high school,Q5191257,1924,,school
Crystal Lake South High School,https://en.wikipedia.org/wiki/Crystal_Lake_South_High_School,2254943,"Schools in McHenry County, Illinois",high school,Q5191262,1978,,school
