wiki_title,wiki_pageid,wiki_url,wiki_state,wiki_level,wiki_wikidata_qid,wiki_nces_id,match_method,match_score,nces_school_id,nces_school_name,nces_sector,nces_state,nces_city,nces_low_grade,nces_high_grade
Chelsea High School (Massachusetts),27600754,https://en.wikipedia.org/wiki/Chelsea_High_School_(Massachusetts),Massachusetts,high,Q5090098,250354000482,nces_id,100.0,250354000482,Chelsea High,public,MA,chelsea,09,12
Chicopee Comprehensive High School,21006282,https://en.wikipedia.org/wiki/Chicopee_Comprehensive_High_School,Massachusetts,high,Q5096482,250366000495,nces_id,100.0,250366000495,Chicopee Comprehensive High School,public,MA,chicopee,09,12
Chicopee High School,24195556,https://en.wikipedia.org/wiki/Chicopee_High_School,Massachusetts,high,Q5096485,250366000496,nces_id,100.0,250366000496,Chicopee High,public,MA,chicopee,09,12
"Clark School (Rowley, Massachusetts)",52749740,"https://en.wikipedia.org/wiki/Clark_School_(Rowley,_Massachusetts)",Massachusetts,high,Q28457890,,name_state,100.0,A9303211,CLARK SCHOOL,private,MA,rowley,2,17
Clinton High School (Massachusetts),7681229,https://en.wikipedia.org/wiki/Clinton_High_School_(Massachusetts),Massachusetts,high,Q5134139,250375000513,nces_id,100.0,250375000513,Clinton Senior High,public,MA,clinton,09,12
Cohasset High School,29636003,https://en.wikipedia.org/wiki/Cohasset_High_School,Massachusetts,high,Q5141309,250378000518,nces_id,100.0,250378000518,Cohasset High School,public,MA,cohasset,09,12
Commonwealth School,1447136,https://en.wikipedia.org/wiki/Commonwealth_School,Massachusetts,high,Q5153852,,name_state,100.0,00604068,COMMONWEALTH SCHOOL,private,MA,boston,14,17
Community Charter School of Cambridge,28581521,https://en.wikipedia.org/wiki/Community_Charter_School_of_Cambridge,Massachusetts,high,Q5154670,250008601996,nces_id,100.0,250008601996,Community Charter School of Cambridge,public,MA,cambridge,06,12
Concord Academy,4044326,https://en.wikipedia.org/wiki/Concord_Academy,Massachusetts,high,Q5158770,,fuzzy,100.0,250384000522,Concord Middle,public,MA,concord,06,08
Concord-Carlisle High School,10662865,https://en.wikipedia.org/wiki/Concord-Carlisle_High_School,Massachusetts,high,Q5158760,250387000527,nces_id,100.0,250387000527,Concord Carlisle High,public,MA,concord,09,12
Cotting School,8156291,https://en.wikipedia.org/wiki/Cotting_School,Massachusetts,high,Q5175616,,name_state,100.0,A9701946,COTTING SCHOOL,private,MA,lexington,2,17
"Covenant Christian Academy (West Peabody, Massachusetts)",53557537,"https://en.wikipedia.org/wiki/Covenant_Christian_Academy_(West_Peabody,_Massachusetts)",Massachusetts,,Q30601950,,name_state,100.0,A9303203,COVENANT CHRISTIAN ACADEMY,private,MA,peabody,2,17
Cristo Rey Boston High School,11273347,https://en.wikipedia.org/wiki/Cristo_Rey_Boston_High_School,Massachusetts,high,Q5186443,,name_state,100.0,00600824,CRISTO REY BOSTON HIGH SCHOOL,private,MA,dorchester,14,17
Cushing Academy,2115935,https://en.wikipedia.org/wiki/Cushing_Academy,Massachusetts,high,Q5196182,,fuzzy,100.0,251056001689,Cushing Elementary,public,MA,scituate,KG,05
Dana Hall School,4247020,https://en.wikipedia.org/wiki/Dana_Hall_School,Massachusetts,high,Q5214738,,name_state,100.0,00603654,DANA HALL SCHOOL,private,MA,wellesley,10,17
Danvers High School,40872664,https://en.wikipedia.org/wiki/Danvers_High_School,Massachusetts,high,Q15212774,250399000529,nces_id,100.0,250399000529,Danvers High,public,MA,danvers,09,12
Dartmouth High School (Massachusetts),12207586,https://en.wikipedia.org/wiki/Dartmouth_High_School_(Massachusetts),Massachusetts,high,Q5225702,250402000540,nces_id,100.0,250402000540,Dartmouth High,public,MA,dartmouth,09,12
David Prouty High School,48591815,https://en.wikipedia.org/wiki/David_Prouty_High_School,Massachusetts,high,Q22073791,250000201790,nces_id,100.0,250000201790,David Prouty High,public,MA,spencer,09,12
Dedham High School,40239917,https://en.wikipedia.org/wiki/Dedham_High_School,Massachusetts,high,Q14598984,250405000548,nces_id,100.0,250405000548,Dedham High,public,MA,dedham,09,12
Deerfield Academy,4233891,https://en.wikipedia.org/wiki/Deerfield_Academy,Massachusetts,high,Q5250893,,fuzzy,100.0,250408000049,Deerfield Elementary,public,MA,south deerfield,PK,06
Dennis-Yarmouth Regional High School,3051164,https://en.wikipedia.org/wiki/Dennis-Yarmouth_Regional_High_School,Massachusetts,high,Q5258116,250414000558,nces_id,100.0,250414000558,Dennis-Yarmouth Regional High,public,MA,south yarmouth,08,12
Derby Academy (Hingham),13376380,https://en.wikipedia.org/wiki/Derby_Academy_(Hingham),Massachusetts,middle,Q5261414,,name_state,100.0,A1701999,DERBY ACADEMY,private,MA,hingham,2,13
Dexter Southfield School,3930077,https://en.wikipedia.org/wiki/Dexter_Southfield_School,Massachusetts,high,Q5268443,,fuzzy,100.0,00604104,DEXTER SOUTHFIELD,private,MA,brookline,2,17
Dighton-Rehoboth Regional High School,34405449,https://en.wikipedia.org/wiki/Dighton-Rehoboth_Regional_High_School,Massachusetts,high,Q5275690,250420000568,nces_id,100.0,250420000568,Dighton-Rehoboth Regional High School,public,MA,north dighton,09,12
Diman Regional Vocational Technical High School,31354596,https://en.wikipedia.org/wiki/Diman_Regional_Vocational_Technical_High_School,Massachusetts,high,Q5277151,250548502269,nces_id,100.0,250548502269,Diman Regional Vocational Technical High,public,MA,fall river,09,12
Doherty Memorial High School,16457900,https://en.wikipedia.org/wiki/Doherty_Memorial_High_School,Massachusetts,high,Q5288559,251323002209,nces_id,100.0,251323002209,Doherty Memorial High,public,MA,worcester,09,12
Douglas High School (Massachusetts),48840626,https://en.wikipedia.org/wiki/Douglas_High_School_(Massachusetts),Massachusetts,high,Q22073796,250423000570,nces_id,100.0,250423000570,Douglas High School,public,MA,douglas,09,12
Dover-Sherborn High School,1987362,https://en.wikipedia.org/wiki/Dover-Sherborn_High_School,Massachusetts,high,Q5302459,250429000574,nces_id,100.0,250429000574,Dover-Sherborn Regional High,public,MA,dover,09,12
Dracut High School,11541702,https://en.wikipedia.org/wiki/Dracut_High_School,Massachusetts,high,Q5304745,250432000579,nces_id,100.0,250432000579,Dracut Senior High,public,MA,dracut,09,12
Drury High School,8475737,https://en.wikipedia.org/wiki/Drury_High_School,Massachusetts,high,Q5309390,250867001387,nces_id,100.0,250867001387,Drury High,public,MA,north adams,07,12
Duxbury High School,6099172,https://en.wikipedia.org/wiki/Duxbury_High_School,Massachusetts,high,Q5317655,250441000594,nces_id,100.0,250441000594,Duxbury High,public,MA,duxbury,09,12
Eagle Hill School,15643939,https://en.wikipedia.org/wiki/Eagle_Hill_School,Massachusetts,high,Q5325119,,name_state,100.0,00603574,EAGLE HILL SCHOOL,private,MA,hardwick,13,17
East Boston High School,22431871,https://en.wikipedia.org/wiki/East_Boston_High_School,Massachusetts,high,Q5327891,250279000226,nces_id,100.0,250279000226,East Boston High School,public,MA,east boston,07,12
East Bridgewater High School,2696365,https://en.wikipedia.org/wiki/East_Bridgewater_High_School,Massachusetts,high,Q5327940,250444000597,nces_id,100.0,250444000597,East Bridgewater JR./SR. High School,public,MA,east bridgewater,07,12
