school_id,lat,lon,county_fips,match
A0302424,35.250825770884,-79.403237851709,37125,Match
BB240289,40.632045743963,-73.891872425335,36047,Match
A0509118,39.847746704943,-74.98038060447,34007,Match
00936912,42.645730819138,-73.757245142146,36001,Match
A2102496,33.407367907397,-104.558962992954,35005,Match
K9303841,40.523327366464,-74.434213695747,34023,Match
A0302423,35.8552363889,-78.588987624595,37183,Match
A9503191,,,,No_Match
A0302421,36.122002519592,-80.264780560754,37067,Match
BB161439,40.071596661862,-74.253170007129,34029,Match
A1502758,35.054160736133,-80.814487522961,37119,Match
A1702821,34.221790967455,-77.900226464966,37129,Match
A9903241,,,,No_Match
BB161435,40.058722811964,-74.20784906845,34029,Match
00944526,41.450526048299,-74.420797376607,36071,Match
00939185,43.0820234761,-77.157057563815,36117,Match
01012343,35.547272613832,-80.406618119425,37159,Match
A1502759,34.692851577834,-77.129298948989,37133,Match
BB161434,40.106977692319,-74.185115236681,34029,Match
00863974,40.721913586223,-74.319093730183,34013,Match
A9903238,40.866950791363,-73.891085783324,36005,Match
02044228,40.312122236489,-74.246246888433,34025,Match
K9303839,40.501761618967,-74.42688158597,34023,Match
A2301692,41.092261680253,-74.049102591037,36087,Match
A2301691,,,,No_Match
A2102489,36.391394931291,-107.838317887104,35045,Match
A0302439,35.023296232553,-80.762532599418,37179,Match
A2102488,32.878979633323,-105.935034640013,35035,Match
00929392,42.167896043784,-76.838719724049,36015,Match
BB161440,40.107585429403,-74.229357870525,34029,Match
02043381,40.865938735649,-74.039095584454,34003,Match
A2102485,40.101942037229,-74.167530310172,34029,Match
A2102484,40.115765895208,-74.250544021748,34029,Match
A0302433,36.255457251835,-76.30794824569,37139,Match
A0302434,34.747033202881,-77.374527449843,37133,Match
A0302431,35.225445150563,-80.831609013857,37119,Match
A1502746,34.228051442482,-77.919481803964,37129,Match
A1171209,39.92076505527,-74.913375986281,34005,Match
A1502747,34.228051442482,-77.919481803964,37129,Match
A1502744,34.229266938963,-77.903140910566,37129,Match
BB161449,,,,No_Match
BB161446,40.352445730467,-74.285964281996,34025,Match
00861321,40.626552669875,-74.302311357378,34039,Match
