Title,Page ID,URL,State,City,County,Extracted State,School Type,Direct Parent Category
"Dothan Preparatory Academy",5925745,"https://en.wikipedia.org/wiki/Dothan_Preparatory_Academy","Alabama","Dothan, Alabama","","Alabama","public","Public high schools in Alabama"
"Douglas High School (Alabama)",22952588,"https://en.wikipedia.org/wiki/Douglas_High_School_(Alabama)","Alabama","Douglas, Alabama","","Alabama","public","Public high schools in Alabama"
"Downing Industrial School",64375713,"https://en.wikipedia.org/wiki/Downing_Industrial_School","Alabama","","","","unknown","Alabama school stubs"
"Dr. Percy L. Julian High School",18786974,"https://en.wikipedia.org/wiki/Dr._Percy_L._Julian_High_School","Alabama","Montgomery, Alabama","","Alabama","unknown","High schools in Montgomery, Alabama"
"Druid High School",58055000,"https://en.wikipedia.org/wiki/Druid_High_School","Alabama","","","Alabama","public","Public high schools in Alabama"
"Dunbar High School (Bessemer, Alabama)",51391930,"https://en.wikipedia.org/wiki/Dunbar_High_School_(Bessemer,_Alabama)","Alabama","2715 6th Ave. N.Bessemer","","Alabama","public","Public high schools in Alabama"
"East Alabama Masonic Female Institute",75511028,"https://en.wikipedia.org/wiki/East_Alabama_Masonic_Female_Institute","Alabama","","Talladega County","Alabama","public","Schools in Talladega County, Alabama"
"East Memorial Christian Academy",40146566,"https://en.wikipedia.org/wiki/East_Memorial_Christian_Academy","Alabama","","","Alabama","private","Private high schools in Alabama"
"Edgewood Academy",22321069,"https://en.wikipedia.org/wiki/Edgewood_Academy","Alabama","Elmore, Alabama","","Alabama","private","Private high schools in Alabama"
"Eleventh Street School",43556648,"https://en.wikipedia.org/wiki/Eleventh_Street_School","Alabama","1026 Chestnut St.","Etowah County","Alabama","public","Schools in Etowah County, Alabama"
"Elkmont High School",79435385,"https://en.wikipedia.org/wiki/Elkmont_High_School","Alabama","Elkmont, Alabama","","Alabama","public","Public high schools in Alabama"
"Ellwood Christian Academy",56293569,"https://en.wikipedia.org/wiki/Ellwood_Christian_Academy","Alabama","Selma, Alabama","","Alabama","private","Private K–12 schools in Alabama"
"Elmore County High School",30630578,"https://en.wikipedia.org/wiki/Elmore_County_High_School","Alabama","","","Alabama","public","Public high schools in Alabama"
"Emerson Institute",70127453,"https://en.wikipedia.org/wiki/Emerson_Institute","Alabama","","","","unknown","Alabama school stubs"
"Emma Sansom High School",9034076,"https://en.wikipedia.org/wiki/Emma_Sansom_High_School","Alabama","Gadsden","Etowah County","Alabama","public","Schools in Etowah County, Alabama"
"Emory School",20978649,"https://en.wikipedia.org/wiki/Emory_School","Alabama","","","Alabama","unknown","Historically segregated African-American schools in Alabama"
"Ensley High School",6116923,"https://en.wikipedia.org/wiki/Ensley_High_School","Alabama","Birmingham","","Alabama","unknown","High schools in Birmingham, Alabama"
"Enterprise High School (Alabama)",9795883,"https://en.wikipedia.org/wiki/Enterprise_High_School_(Alabama)","Alabama","Enterprise, Alabama","","Alabama","public","Public high schools in Alabama"
"Enterprise School",47785470,"https://en.wikipedia.org/wiki/Enterprise_School","Alabama","","Madison County","Alabama","public","Schools in Madison County, Alabama"
"Escambia Academy",50404381,"https://en.wikipedia.org/wiki/Escambia_Academy","Alabama","Atmore, Alabama","","Alabama","private","Private K–12 schools in Alabama"
"Escambia County High School (Alabama)",53436898,"https://en.wikipedia.org/wiki/Escambia_County_High_School_(Alabama)","Alabama","Atmore, Alabama","Escambia County, Alabama","Alabama","public","Public high schools in Alabama"
"Escambia County Training School",64004130,"https://en.wikipedia.org/wiki/Escambia_County_Training_School","Alabama","8th Ave. now Martin Luther King Jr. Blvd.","","Alabama","unknown","Historically segregated African-American schools in Alabama"
"Etowah High School (Alabama)",11520491,"https://en.wikipedia.org/wiki/Etowah_High_School_(Alabama)","Alabama","Attalla, Alabama","","Alabama","public","Public high schools in Alabama"
"Eufaula High School (Alabama)",31868184,"https://en.wikipedia.org/wiki/Eufaula_High_School_(Alabama)","Alabama","Eufaula, Alabama","","Alabama","public","Public high schools in Alabama"
"Evangel Classical Christian School",29743888,"https://en.wikipedia.org/wiki/Evangel_Classical_Christian_School","Alabama","Alabaster, Alabama","","Alabama","private","Private high schools in Alabama"
